Team,Conference,latitude,longitude,zip,pic,
TEN,AFC,36.166461,-86.771289,37213,y,g
NYG,NFC,40.812194,-74.076983,10021,y,
PIT,AFC,40.446786,-80.015761,15202,y,
CAR,NFC,35.225808,-80.852861,28202,y,g
BAL,AFC,39.277969,-76.622767,21203,y,g
TAM,NFC,27.975967,-82.50335,33607,y,g
IND,AFC,39.760056,-86.163806,46201,y,
MIN,NFC,44.973881,-93.258094,56760,y,
ARI,NFC,33.5277,-112.262608,63102,y,
DAL,NFC,32.747778,-97.092778,75203,y,
ATL,NFC,33.757614,-84.400972,30303,y,
NYJ,AFC,40.812194,-74.076983,10001,y,
DEN,AFC,39.743936,-105.020097,28037,y,g
MIA,AFC,25.957919,-80.238842,33102,y,
PHI,NFC,39.900775,-75.167453,19092,y,
CHI,NFC,41.862306,-87.616672,60602,y,
NWE,AFC,42.090925,-71.26435,58647,y,
WAS,NFC,38.907697,-76.864517,20575,y,
GNB,NFC,44.501306,-88.062167,54301,y,
LAC,AFC,32.783117,-117.119525,92103,y,
NOR,NFC,29.950931,-90.081364,70112,y,g
HOU,AFC,29.684781,-95.410956,77002,y,
BUF,AFC,42.773739,-78.786978,14202,y,g
SFO,NFC,37.713486,-122.386256,94102,y,
JAX,AFC,30.323925,-81.637356,32099,y,
CLE,AFC,41.506022,-81.699564,44114,y,
OAK,AFC,37.751411,-122.200889,94502,y,g
KAN,AFC,39.048914,-94.484039,66027,y,
LAR,NFC,38.632975,-90.188547,63101,y,
SEA,NFC,47.595153,-122.331625,98102,y,
CIN,AFC,39.095442,-84.516039,45202,y,
DET,NFC,42.340156,-83.045808,48205,y,
SDG,,32.715736,-117.161087,,,
STL,,38.627003,-90.199402,,,